URL,关闭时间,创建时间,创建者,序号,更新时间,标签,标签数,标题,正文长度,正文预览,状态,类型,编号,获取时间,评论数,页码
https://github.com/microsoft/vscode/issues/290239,,2026-01-25T09:03:15Z,bpasero,67,2026-01-25T09:04:28Z,testplan-item,1,Test: active/history chat session view,771,"Refs: <!-- Refer to the issue that this test plan item is testing. -->

- [ ] anyOS
- [ ] anyOS

Com...",open,Issue,290239,2026-01-26T20:07:41.045897,0,1
https://github.com/microsoft/vscode/issues/290235,,2026-01-25T08:06:37Z,z85t95rcrs-art,68,2026-01-25T08:07:57Z,"info-needed, triage-needed, new release",3,Error response after severall retries,2042,"
Type: <b>Bug</b>

This was my request: ""chci z poslednich 15 minutovych svicek sbirat rozdilove hod...",open,Issue,290235,2026-01-26T20:07:41.045897,1,1
https://github.com/microsoft/vscode/issues/290234,,2026-01-25T07:41:41Z,bpasero,69,2026-01-25T07:41:41Z,important,1,Chat: Retry Connection is a no-op,1246,"Steps to Reproduce:

1. have a VS Code window with an expired GH token
2. try to chat
3. eventually ...",open,Issue,290234,2026-01-26T20:07:41.045897,0,1
https://github.com/microsoft/vscode/issues/290229,,2026-01-25T07:04:18Z,bhavyaus,70,2026-01-25T07:05:34Z,,0,Update token counting calculation for telemetry to reuse context window widget token details,204,"
The context window widget already computes detailed token breakdowns. The telemetry system should b...",open,Issue,290229,2026-01-26T20:07:41.045897,0,1
https://github.com/microsoft/vscode/issues/290228,,2026-01-25T07:04:03Z,Scatterblak,71,2026-01-26T08:31:34Z,,0,"replace_string_in_file now opens a dialog in the chat pane, and it's awful.",2137,"** Please search existing issues to avoid creating duplicates ** 
--I did, this is fairly specific, ...",open,Issue,290228,2026-01-26T20:07:41.045897,1,1
https://github.com/microsoft/vscode/issues/290227,,2026-01-25T06:59:38Z,Greeny187,72,2026-01-25T07:01:11Z,"info-needed, triage-needed, new release",3,not for 10 in a month,2054,"
Type: <b>Bug</b>

first try, first issue

Extension version: 0.36.2
VS Code version: Code 1.108.2 (...",open,Issue,290227,2026-01-26T20:07:41.045897,1,1
https://github.com/microsoft/vscode/issues/290225,,2026-01-25T06:50:31Z,lizelive,73,2026-01-25T06:51:42Z,new release,1,Failed to validate tool mcp_hf-mcp-server_gr1_flux_2_klein_9b_infer: Error: tool parameters array type must have items. Please open a Github issue for the MCP server or extension which provides this tool,1440,"
Type: <b>Bug</b>

		""hf-mcp-server"": {
			""command"": ""npx"",
			""args"": [
				""mcp-remote"",
				""htt...",open,Issue,290225,2026-01-26T20:07:41.045897,0,1
https://github.com/microsoft/vscode/issues/290224,,2026-01-25T06:22:28Z,easygoingcfy,74,2026-01-25T06:23:51Z,"info-needed, triage-needed, ai-translated",3,error report,2383,"
Type: <b>Bug</b>

正在收集工作区信息正在筛选到最相关的信息

Extension version: 0.36.2
VS Code version: Code - Insiders ...",open,Issue,290224,2026-01-26T20:07:41.045897,2,1
https://github.com/microsoft/vscode/issues/290223,,2026-01-25T06:22:01Z,rwoll,75,2026-01-25T06:23:32Z,bug,1,"Worktree Creation ""Cancel"" does not actually cancel sometimes",1144,"<!-- Please search existing issues to avoid creating duplicates -->
<!-- Please attach logs to help ...",open,Issue,290223,2026-01-26T20:07:41.045897,2,1
https://github.com/microsoft/vscode/issues/290219,,2026-01-25T05:18:53Z,roblourens,76,2026-01-25T05:20:09Z,,0,potential listener LEAK detected: new XtermTerminal,1326,"These are often noise in chat due to rendering content that is offscreen, caching view parts on the ...",open,Issue,290219,2026-01-26T20:07:41.045897,1,1
https://github.com/microsoft/vscode/issues/290218,,2026-01-25T05:17:30Z,roblourens,77,2026-01-25T05:17:30Z,,0,Leaked disposable,998,"Scrolling around in a chat session that is running some terminal commands, seeing lots of these, thi...",open,Issue,290218,2026-01-26T20:07:41.045897,0,1
https://github.com/microsoft/vscode/issues/290217,,2026-01-25T05:16:25Z,wmthor,78,2026-01-26T10:28:40Z,,0,Github Copilot Restore Checkpoint does not go back to Plan Mode,687,"System Information: 
- Copilot Chat Extension Version: 0.37.2026012202
- VS Code Version: 1.109.0-in...",open,Issue,290217,2026-01-26T20:07:41.045897,0,1
https://github.com/microsoft/vscode/issues/290209,,2026-01-25T04:30:39Z,coolesrat,79,2026-01-25T04:32:02Z,"info-needed, triage-needed",2,YOUR PROGRAM IS A WASTE OF TIME - ID LIKE MY MONEY BACK ,2065,"
Type: <b>Bug</b>

DIDNT ASK FOR THIS !!! AND IT DELETED EVERYTHING I WORKED ON 

Extension version:...",open,Issue,290209,2026-01-26T20:07:41.045897,2,1
https://github.com/microsoft/vscode/issues/290208,,2026-01-25T04:26:50Z,coolesrat,80,2026-01-25T04:28:12Z,"info-needed, triage-needed",2,DELETED ALL MY FILES RANDOMLY !!!,2040,"
Type: <b>Bug</b>

YOUR PROGRAM MAKES SO MANY MISTAKES 

Extension version: 0.36.2
VS Code version: ...",open,Issue,290208,2026-01-26T20:07:41.045897,2,1
https://github.com/microsoft/vscode/issues/290205,,2026-01-25T03:40:24Z,Wikid82,81,2026-01-25T04:09:13Z,,0,Agent reports that the subagents are sandboxed and not loading their tools correctly.,3824,"<!-- ⚠️⚠️ Do Not Delete This! bug_report_template ⚠️⚠️ -->
<!-- Please read our Rules of Conduct: ht...",open,Issue,290205,2026-01-26T20:07:41.045897,1,1
